2026-01-30 08:00:01 | INFO  | user=10 | action=login
2026-01-30 08:02:15 | INFO  | user=10 | action=view_page
2026-01-30 08:05:22 | WARN  | user=10 | action=slow_response
2026-01-30 08:07:45 | ERROR | user=10 | action=timeout
2026-01-30 08:08:00 | ERROR | user=10 | action=timeout
2026-01-30 08:09:10 | INFO  | user=11 | action=login
2026-01-30 08:15:33 | INFO  | user=11 | action=upload
2026-01-30 08:20:00 | INFO  | user=12 | action=login
2026-01-30 08:21:05 | INFO  | user=12 | action=view_page
2026-01-30 08:22:10 | WARN  | user=12 | action=password_attempt
2026-01-30 08:23:45 | ERROR | user=12 | action=login_failed
2026-01-30 09:00:00 | INFO  | user=21 | action=login
2026-01-30 09:05:10 | INFO  | user=21 | action=view_page
2026-01-30 09:07:45 | WARN  | user=21 | action=slow_response
2026-01-30 09:10:00 | ERROR | user=21 | action=timeout
2026-01-30 09:15:00 | INFO  | user=33 | action=login
2026-01-30 09:20:00 | INFO  | user=33 | action=upload
2026-01-30 09:25:00 | INFO  | user=33 | action=logout
2026-01-30 10:00:00 | ERROR | user=45 | action=login_failed
2026-01-30 10:01:00 | ERROR | user=45 | action=login_failed
2026-01-30 10:02:00 | ERROR | user=45 | action=login_failed
2026-01-30 10:03:00 | INFO  | user=45 | action=retry_login
2026-01-30 10:10:00 | INFO  | user=50 | action=login
2026-01-30 10:15:00 | INFO  | user=50 | action=view_page
2026-01-30 10:20:00 | WARN  | user=50 | action=slow_response
2026-01-30 11:00:00 | INFO  | user=60 | action=login
2026-01-30 11:05:00 | ERROR | user=60 | action=timeout
2026-01-30 11:06:00 | ERROR | user=60 | action=timeout
2026-01-30 11:07:00 | ERROR | user=60 | action=timeout
2026-01-30 11:08:00 | ERROR | user=60 | action=timeout
2026-01-30 11:09:00 | INFO  | user=60 | action=retry_login
2026-01-30 12:00:00 | INFO  | user=70 | action=download
2026-01-30 12:05:00 | INFO  | user=70 | action=logout
2026-01-30 12:10:00 | ERROR | user=80 | action=login_failed
2026-01-30 12:11:00 | ERROR | user=80 | action=login_failed
2026-01-30 12:12:00 | ERROR | user=80 | action=login_failed
2026-01-30 12:13:00 | ERROR | user=80 | action=login_failed
2026-01-30 12:14:00 | ERROR | user=80 | action=login_failed
2026-01-30 13:00:00 | INFO  | user=90 | action=login
2026-01-30 13:05:00 | INFO  | user=90 | action=view_page
2026-01-30 13:10:00 | WARN  | user=90 | action=slow_response
2026-01-30 13:15:00 | INFO  | user=90 | action=logout
2026-01-30 14:00:00 | INFO  | user=100 | action=login
2026-01-30 14:05:00 | INFO  | user=100 | action=view_page
2026-01-30 14:10:00 | INFO  | user=100 | action=download
2026-01-30 14:15:00 | INFO  | user=100 | action=logout
